Year,Month,Grain Ht(in),Deer Pop.,Cougar Pop.,Temp(f),Precip(in)
2020,0,3.60,0,0,30.69,14.46
2020,1,5.38,1,0,52.55,12.13
2020,2,5.01,2,0,60.09,14.50
2020,3,4.03,3,0,63.73,15.96
2020,4,2.53,4,1,77.58,13.04
2020,5,0.53,3,1,74.34,13.49
2020,6,0.00,2,1,74.19,12.08
2020,7,0.00,1,0,75.02,11.40
2020,8,0.00,0,0,70.88,11.43
2020,9,2.85,0,0,50.00,13.89
2020,10,4.48,1,0,53.04,10.90
2020,11,9.23,2,0,47.13,11.76
2021,0,10.83,3,0,49.93,15.05
2021,1,15.27,4,1,43.14,15.62
2021,2,13.30,5,1,63.40,15.41
2021,3,10.80,6,1,73.42,15.42
2021,4,7.80,7,2,75.05,15.60
2021,5,4.30,7,2,70.50,11.57
2021,6,0.80,5,2,87.20,12.78
2021,7,0.00,3,1,76.13,10.84
2021,8,0.00,2,1,73.24,12.31
2021,9,0.00,1,0,57.41,12.51
2021,10,3.18,0,0,48.46,14.23
2021,11,11.09,1,0,43.11,11.81
2022,0,16.05,2,0,45.65,14.25
2022,1,15.73,3,0,55.18,15.31
2022,2,14.36,4,1,60.10,14.21
2022,3,12.38,5,1,64.77,14.68
2022,4,9.88,6,1,73.06,15.49
2022,5,6.88,7,2,77.00,12.16
2022,6,3.38,5,2,88.89,12.66
2022,7,0.88,3,1,69.19,10.59
2022,8,0.00,2,1,61.76,12.42
2022,9,0.30,1,0,53.36,13.92
2022,10,7.79,0,0,42.56,12.30
2022,11,15.99,1,0,38.76,12.79
2023,0,18.84,2,0,30.89,13.96
2023,1,20.84,3,0,49.57,14.27
2023,2,19.88,4,1,56.33,13.84
2023,3,17.89,5,1,67.24,13.81
2023,4,15.39,6,1,78.02,12.84
2023,5,12.39,7,2,81.48,14.98
2023,6,8.89,7,2,78.16,14.22
2023,7,5.39,7,2,74.76,13.74
2023,8,1.91,5,2,64.92,10.81
2023,9,1.80,3,1,51.05,13.21
2023,10,1.06,2,1,55.62,11.93
2023,11,7.20,1,0,44.55,11.52
2024,0,13.14,2,0,44.99,12.94
2024,1,18.94,3,0,43.76,13.74
2024,2,17.48,4,1,62.59,14.17
2024,3,15.62,5,1,59.93,14.13
2024,4,13.13,6,1,68.80,14.84
2024,5,10.13,7,2,84.40,14.13
2024,6,6.63,7,2,84.40,11.17
2024,7,3.13,5,2,79.33,12.86
2024,8,0.63,3,1,69.89,11.88
2024,9,0.87,2,1,52.64,12.14
2024,10,6.26,1,0,44.77,13.38
2024,11,10.27,2,0,33.08,14.60
2025,0,13.57,3,0,32.16,13.53
2025,1,19.82,4,1,40.42,13.84
2025,2,19.34,5,1,52.45,14.81
2025,3,16.95,6,1,60.30,15.00
2025,4,13.95,7,2,75.45,14.52
2025,5,10.45,7,2,87.71,14.90
2025,6,6.95,7,2,86.41,11.15
2025,7,3.45,5,2,84.01,10.82
2025,8,1.04,3,1,61.32,12.11
2025,9,0.00,2,1,58.13,11.85
2025,10,6.56,1,0,42.73,13.15
2025,11,10.86,2,0,47.86,11.13
